"Symbol","ID"
ADANIENT,1
ADANIENT21JUN1460CE,2
ADANIENT21JUN1460PE,3
ADANIENT21JUN1500CE,4
ADANIENT21JUN1500PE,5
ADANIENT21JUN1520CE,6
ADANIENT21JUN1540CE,7
ADANIENT21JUN1600CE,8
ADANIENT21JUN1640CE,9
ADANIENT21JUN1660CE,10
ADANIENT21JUN1700CE,11
ADANIENT21JUN1720CE,12
ADANIENT21NOV1560PE,13
ADANIENT21NOV1600PE,14
ADANIPORTS,15
ADANIPORTS21NOV780CE,16
ADANIPORTS21NOV800CE,17
ADANITRANS,18
AMBUJACEM21APR310CE,19
ASHOKLEY,20
ASIANPAINT,21
ASIANPAINT21AUG3100CE,22
ASIANPAINT21AUG3140CE,23
ASIANPAINT21NOV3280CE,24
ATGL,25
AXISBANK,26
BAJAJ-AUTO21JUN4500CE,27
BAJAJCON,28
BAJAJFINSV,29
BAJFINANCE,30
BAJFINANCE21AUG6500CE,31
BAJFINANCE21AUG6600CE,32
BAJFINANCE21AUG6700CE,33
BAJFINANCE21AUG6800CE,34
BAJFINANCE21AUG6900CE,35
BAJFINANCE21AUG7100CE,36
BAJFINANCE21AUG7200CE,37
BAJFINANCE21NOV6800PE,38
BAJFINANCE21NOV7000PE,39
BAJFINANCE21OCT8800CE,40
BANKBARODA,41
BANKNIFTY2121836300PE,42
BANKNIFTY2121836400PE,43
BANKNIFTY2121836600PE,44
BANKNIFTY2121836700CE,45
BANKNIFTY2121836900PE,46
BANKNIFTY2121837000PE,47
BANKNIFTY2121837100CE,48
BANKNIFTY2121837200CE,49
BANKNIFTY2121837200PE,50
BANKNIFTY2121837300CE,51
BANKNIFTY2121837400CE,52
BANKNIFTY2121837500CE,53
BANKNIFTY2121837600CE,54
BANKNIFTY2130434000PE,55
BANKNIFTY2130434100PE,56
BANKNIFTY2130434300PE,57
BANKNIFTY2130434600PE,58
BANKNIFTY2130434700PE,59
BANKNIFTY2130434900PE,60
BANKNIFTY2130435000PE,61
BANKNIFTY2130435400PE,62
BANKNIFTY2130435600CE,63
BANKNIFTY2130435700CE,64
BANKNIFTY2130435900CE,65
BANKNIFTY2130436000CE,66
BANKNIFTY2130436200CE,67
BANKNIFTY2130436400CE,68
BANKNIFTY2130436500CE,69
BANKNIFTY2130437000CE,70
BANKNIFTY2131833400PE,71
BANKNIFTY2131833500PE,72
BANKNIFTY2131834000CE,73
BANKNIFTY2131834100CE,74
BANKNIFTY2131834200PE,75
BANKNIFTY2131834300PE,76
BANKNIFTY2131834400PE,77
BANKNIFTY2131834500PE,78
BANKNIFTY2131834600PE,79
BANKNIFTY2131834800CE,80
BANKNIFTY2131835500CE,81
BANKNIFTY2131835800CE,82
BANKNIFTY2140832300PE,83
BANKNIFTY2140832800CE,84
BANKNIFTY2140832900PE,85
BANKNIFTY2140833000CE,86
BANKNIFTY2140833000PE,87
BANKNIFTY2140833200CE,88
BANKNIFTY2140833300PE,89
BANKNIFTY2140833500CE,90
BANKNIFTY2141529800PE,91
BANKNIFTY2141530000PE,92
BANKNIFTY2141530500PE,93
BANKNIFTY2141530700PE,94
BANKNIFTY2141530800PE,95
BANKNIFTY2141530900PE,96
BANKNIFTY2141531000CE,97
BANKNIFTY2141531000PE,98
BANKNIFTY2141531200CE,99
BANKNIFTY2141531200PE,100
BANKNIFTY2141531500CE,101
BANKNIFTY2141531500PE,102
BANKNIFTY2141531600CE,103
BANKNIFTY2141531700CE,104
BANKNIFTY2141531700PE,105
BANKNIFTY2141531800CE,106
BANKNIFTY2141531800PE,107
BANKNIFTY2141531900CE,108
BANKNIFTY2141531900PE,109
BANKNIFTY2141532000CE,110
BANKNIFTY2141532100PE,111
BANKNIFTY2141533000CE,112
BANKNIFTY2141533200CE,113
BANKNIFTY2142230500PE,114
BANKNIFTY2142231300CE,115
BANKNIFTY2142231300PE,116
BANKNIFTY2142231400CE,117
BANKNIFTY2142231400PE,118
BANKNIFTY2142231500CE,119
BANKNIFTY2142231500PE,120
BANKNIFTY2142231600CE,121
BANKNIFTY2142232100CE,122
BANKNIFTY2160334700PE,123
BANKNIFTY2160335000PE,124
BANKNIFTY2160335400CE,125
BANKNIFTY2160335400PE,126
BANKNIFTY2160335500CE,127
BANKNIFTY2160335500PE,128
BANKNIFTY2160335600CE,129
BANKNIFTY2160335600PE,130
BANKNIFTY2160335700PE,131
BANKNIFTY2160335800PE,132
BANKNIFTY2160336300CE,133
BANKNIFTY2160336500CE,134
BANKNIFTY2161034300PE,135
BANKNIFTY2161034600CE,136
BANKNIFTY2161034600PE,137
BANKNIFTY2161034700CE,138
BANKNIFTY2161034800CE,139
BANKNIFTY2161034800PE,140
BANKNIFTY2161034900CE,141
BANKNIFTY2161034900PE,142
BANKNIFTY2161035000CE,143
BANKNIFTY2161035000PE,144
BANKNIFTY2161035100CE,145
BANKNIFTY2161035100PE,146
BANKNIFTY2161035200CE,147
BANKNIFTY2161035200PE,148
BANKNIFTY2161035300CE,149
BANKNIFTY2161035400CE,150
BANKNIFTY2161035400PE,151
BANKNIFTY2161035500CE,152
BANKNIFTY2161035600CE,153
BANKNIFTY2161035800CE,154
BANKNIFTY2161035900CE,155
BANKNIFTY2161036000CE,156
BANKNIFTY2161036300CE,157
BANKNIFTY2161036400CE,158
BANKNIFTY2161734900PE,159
BANKNIFTY2161735000CE,160
BANKNIFTY2161735000PE,161
BANKNIFTY2161735100CE,162
BANKNIFTY2161735200CE,163
BANKNIFTY2161735300CE,164
BANKNIFTY2161735400CE,165
BANKNIFTY2161735500CE,166
BANKNIFTY2181835600PE,167
BANKNIFTY2190236400PE,168
BANKNIFTY2190236500CE,169
BANKNIFTY2190236500PE,170
BANKNIFTY2190236800CE,171
BANKNIFTY2190237000CE,172
BANKNIFTY2190237100CE,173
BANKNIFTY2190237200CE,174
BANKNIFTY2190237300CE,175
BANKNIFTY2190237800CE,176
BANKNIFTY2190935400PE,177
BANKNIFTY2190938000CE,178
BANKNIFTY2192334000PE,179
BANKNIFTY2192338700CE,180
BANKNIFTY21AUG35400PE,181
BANKNIFTY21AUG35500CE,182
BANKNIFTY21AUG35500PE,183
BANKNIFTY21AUG35600CE,184
BANKNIFTY21AUG35600PE,185
BANKNIFTY21AUG35700PE,186
BANKNIFTY21AUG35800PE,187
BANKNIFTY21FEB34600PE,188
BANKNIFTY21FEB34700PE,189
BANKNIFTY21FEB34900PE,190
BANKNIFTY21FEB35100PE,191
BANKNIFTY21FEB35200PE,192
BANKNIFTY21FEB35300PE,193
BANKNIFTY21FEB35500CE,194
BANKNIFTY21FEB35700CE,195
BANKNIFTY21FEB35700PE,196
BANKNIFTY21FEB35800CE,197
BANKNIFTY21FEB35800PE,198
BANKNIFTY21FEB35900CE,199
BANKNIFTY21FEB36000CE,200
BANKNIFTY21FEB36300CE,201
BANKNIFTY21FEB36500CE,202
BANKNIFTY21FEB36600CE,203
BANKNIFTY21FEB36600PE,204
BANKNIFTY21FEB37000CE,205
BANKNIFTY21FEB37000PE,206
BANKNIFTY21FEB37100CE,207
BANKNIFTY21FEB37200CE,208
BANKNIFTY21FEB38000CE,209
BANKNIFTY21MAR32500PE,210
BANKNIFTY21MAR32600PE,211
BANKNIFTY21MAR34800CE,212
BANKNIFTY21MAR35000CE,213
BANKNIFTY21MAR35400CE,214
BANKNIFTY21N1138600PE,215
BANKNIFTY21N1138700CE,216
BANKNIFTY21N1138700PE,217
BANKNIFTY21N1139000PE,218
