"ID","Symbol","Entry_Date","Exit_Date","Quantity","Buy_Value","Sell_Value","Profit","Period_of_holding","Turnover"
280,HINDALCO,"2021-04-01 00:00:00.000","2021-04-01 00:00:00.000",1,350,349,0,0,0
516,TATASTEEL,"2021-04-01 00:00:00.000","2021-04-01 00:00:00.000",2,1645,1638,-7,0,7
516,TATASTEEL,"2021-04-01 00:00:00.000","2021-04-01 00:00:00.000",1,823,831,8,0,8
516,TATASTEEL,"2021-04-01 00:00:00.000","2021-04-01 00:00:00.000",2,1652,1662,10,0,10
516,TATASTEEL,"2021-04-01 00:00:00.000","2021-04-01 00:00:00.000",2,1641,1661,20,0,20
277,HDFCBANK,"2021-04-05 00:00:00.000","2021-04-05 00:00:00.000",2,2920,2939,19,0,19
504,SBIN,"2021-04-05 00:00:00.000","2021-04-05 00:00:00.000",3,1061,1085,24,0,24
504,SBIN,"2021-04-05 00:00:00.000","2021-04-05 00:00:00.000",2,707,724,17,0,17
21,ASIANPAINT,"2021-04-05 00:00:00.000","2021-04-05 00:00:00.000",1,2500,2486,-14,0,14
295,ICICIBANK,"2021-04-05 00:00:00.000","2021-04-05 00:00:00.000",2,1163,1160,-3,0,3
510,TATACHEM,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",10,8090,8043,-47,0,47
21,ASIANPAINT,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",5,12860,12886,26,0,26
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",10,7749,7910,161,0,161
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",19,14850,15029,179,0,179
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",1,782,791,9,0,9
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",30,23448,23654,206,0,206
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",40,31740,31536,-204,0,204
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",10,7850,8050,200,0,200
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",10,7870,8050,181,0,181
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",20,15852,16210,358,0,358
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",20,15852,16137,285,0,285
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",10,7926,8030,104,0,104
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-06 00:00:00.000",2,1646,1684,38,0,38
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-07 00:00:00.000",3,2469,2487,17,1,0
15,ADANIPORTS,"2021-04-06 00:00:00.000","2021-04-07 00:00:00.000",2,1656,1658,2,1,0
