"ID","Symbol","Quantity","Buy_Value","Sell_Value","Realized_PnL","Realized_PnL_Pct"
1,ADANIENT,867,1438206,1440037,1831,0
2,ADANIENT21JUN1460CE,3000,164700,178300,13600,8
3,ADANIENT21JUN1460PE,1000,28350,28400,50,0
4,ADANIENT21JUN1500CE,7000,305000,286449,-18550,-6
5,ADANIENT21JUN1500PE,1000,38150,39600,1450,4
6,ADANIENT21JUN1520CE,2000,118600,121300,2700,2
7,ADANIENT21JUN1540CE,2000,120150,128100,7950,7
8,ADANIENT21JUN1600CE,8000,429150,433550,4400,1
9,ADANIENT21JUN1640CE,1000,65000,68000,3000,5
10,ADANIENT21JUN1660CE,1000,65800,47350,-18450,-28
11,ADANIENT21JUN1700CE,1000,40900,38000,-2900,-7
12,ADANIENT21JUN1720CE,6000,230899,219850,-11050,-5
13,ADANIENT21NOV1560PE,500,4000,3000,-1000,-25
14,ADANIENT21NOV1600PE,500,3650,3850,200,5
15,ADANIPORTS,750,597819,599942,2123,0
16,ADANIPORTS21NOV780CE,1250,12500,12375,-125,-1
17,ADANIPORTS21NOV800CE,1250,9750,9125,-625,-6
18,ADANITRANS,23,14143,14197,54,0
19,AMBUJACEM21APR310CE,3000,17850,16650,-1200,-7
20,ASHOKLEY,1910,232695,233539,844,0
21,ASIANPAINT,52,133855,133820,-34,0
22,ASIANPAINT21AUG3100CE,300,10755,9795,-960,-9
23,ASIANPAINT21AUG3140CE,300,9600,8670,-930,-10
24,ASIANPAINT21NOV3280CE,150,5250,4950,-300,-6
25,ATGL,1,1116,1144,28,3
26,AXISBANK,45,31870,31971,101,0
27,BAJAJ-AUTO21JUN4500CE,500,31450,29625,-1825,-6
28,BAJAJCON,25,6835,6725,-110,-2
29,BAJAJFINSV,10,116921,116503,-417,0
30,BAJFINANCE,8,39648,39758,110,0
31,BAJFINANCE21AUG6500CE,375,23250,23656,406,2
32,BAJFINANCE21AUG6600CE,250,14081,15631,1550,11
33,BAJFINANCE21AUG6700CE,500,42325,40793,-1531,-4
34,BAJFINANCE21AUG6800CE,250,17343,20625,3281,19
35,BAJFINANCE21AUG6900CE,250,15118,12443,-2675,-18
36,BAJFINANCE21AUG7100CE,375,28875,25200,-3675,-13
37,BAJFINANCE21AUG7200CE,125,7581,5200,-2381,-31
38,BAJFINANCE21NOV6800PE,125,3606,4018,412,11
39,BAJFINANCE21NOV7000PE,125,3500,2525,-975,-28
40,BAJFINANCE21OCT8800CE,125,2662,2475,-187,-7
41,BANKBARODA,410,31262,31440,178,1
42,BANKNIFTY2121836300PE,50,3625,4300,675,19
43,BANKNIFTY2121836400PE,50,5250,6075,825,16
44,BANKNIFTY2121836600PE,75,10375,11025,650,6
45,BANKNIFTY2121836700CE,50,7643,7226,-417,-5
46,BANKNIFTY2121836900PE,275,65311,63077,-2233,-3
47,BANKNIFTY2121837000PE,100,31122,34000,2877,9
48,BANKNIFTY2121837100CE,75,14365,13690,-675,-5
49,BANKNIFTY2121837200CE,125,26275,27370,1095,4
50,BANKNIFTY2121837200PE,25,9880,10000,120,1
51,BANKNIFTY2121837300CE,50,14900,13400,-1500,-10
52,BANKNIFTY2121837400CE,50,11800,15116,3316,28
53,BANKNIFTY2121837500CE,25,9000,10000,1000,11
54,BANKNIFTY2121837600CE,50,14041,10018,-4022,-29
55,BANKNIFTY2130434000PE,50,21861,21532,-328,-2
56,BANKNIFTY2130434100PE,25,6640,4386,-2253,-34
57,BANKNIFTY2130434300PE,50,11653,10352,-1301,-11
58,BANKNIFTY2130434600PE,50,12747,11470,-1277,-10
59,BANKNIFTY2130434700PE,25,12938,13416,477,4
60,BANKNIFTY2130434900PE,25,1258,1200,-58,-5
61,BANKNIFTY2130435000PE,150,58320,56652,-1667,-3
62,BANKNIFTY2130435400PE,25,926,3352,2426,262
63,BANKNIFTY2130435600CE,50,23475,20727,-2747,-12
64,BANKNIFTY2130435700CE,50,11977,11128,-848,-7
65,BANKNIFTY2130435900CE,25,7140,7375,235,3
66,BANKNIFTY2130436000CE,150,33878,33607,-271,-1
67,BANKNIFTY2130436200CE,75,16432,17985,1552,9
68,BANKNIFTY2130436400CE,25,4870,4457,-412,-8
69,BANKNIFTY2130436500CE,25,3017,2693,-323,-11
70,BANKNIFTY2130437000CE,100,16905,18882,1977,12
71,BANKNIFTY2131833400PE,300,1193,553,-640,-54
72,BANKNIFTY2131833500PE,375,12565,15961,3396,27
